id;vendas_id;produto_id;item_quantidade;valor_unitario;valor_bruto
1658;170;3;1;139;139
53282;3342;62;3;96;288
10195;1165;25;2;106;212
11166;1241;25;1;106;106
29708;2341;64;1;96;96
30976;2406;24;1;106;106
48493;3095;5;1;84;84
52910;3087;83;1;136;136
27;2;30;1;144;144
23779;1996;40;1;290;290
27288;2198;17;1;146;146
29547;2334;36;1;162;162
33319;2515;3;2;139;278
47683;297;21;1;82;82
48258;388;71;2;150;300
49801;3164;11;1;144;144
50360;3211;54;1;178;178
18462;1605;72;1;150;150
14738;1410;9;1;182;182
3607;453;33;1;144;144
15873;1462;34;1;162;162
19473;1675;39;1;290;290
15349;1441;71;1;150;150
16911;1522;8;1;182;182
17479;1552;25;1;106;106
28020;2248;62;2;96;192
46408;3022;14;1;167;167
13393;1341;74;1;156;156
14595;1400;77;1;156;156
28347;2264;8;1;182;182
35699;2626;88;1;115;115
37747;2723;28;1;116;116
45148;3043;26;1;106;106
46243;3013;9;1;182;182
21548;1804;69;1;106;106
43426;675;31;2;144;288
47011;276;12;1;144;144
47588;282;5;1;84;84
47625;289;75;1;156;156
51256;3265;24;2;106;212
53384;3346;57;1;178;178
46349;3007;39;2;290;580
7840;1009;26;1;106;106
20091;1709;38;2;290;580
26010;2134;16;1;167;167
32488;2479;15;2;167;334
14326;1388;42;1;112;112
31615;2435;31;1;144;144
41988;2929;37;1;162;162
46973;176;16;1;167;167
18022;1581;32;1;144;144
28397;2271;30;1;144;144
53119;3284;68;1;106;106
3336;423;77;1;156;156
48303;393;40;2;290;580
2354;287;3;1;139;139
17991;1581;75;1;156;156
44528;876;18;2;146;292
45219;3049;40;1;290;290
7304;958;15;1;167;167
15696;1458;74;1;156;156
16225;1487;40;1;290;290
28337;2265;71;1;150;150
40719;1113;75;2;156;312
52713;3073;38;2;290;580
5996;759;20;1;82;82
35777;2632;3;1;139;139
47346;235;51;1;490;490
27373;2206;32;1;144;144
32272;2461;48;1;153;153
41943;1219;73;1;150;150
47470;241;88;1;115;115
49828;3168;69;1;106;106
9682;1125;44;1;112;112
24956;2073;72;1;150;150
38497;2759;21;1;82;82
44263;825;54;1;178;178
893;93;89;1;115;115
9861;1141;2;1;139;139
13175;1334;88;2;115;230
13973;1371;40;1;290;290
14358;1385;18;1;146;146
15460;1446;40;1;290;290
27381;2206;75;2;156;312
30691;2398;34;1;162;162
43313;653;22;1;82;82
52262;3399;4;1;84;84
12628;1305;3;3;139;417
30355;2383;60;1;187;187
32764;2491;36;2;162;324
38925;2786;93;3;75;225
44945;924;16;1;167;167
50221;3206;40;1;290;290
54233;3328;88;1;115;115
21517;1803;5;2;84;168
29068;2303;48;1;153;153
38100;2735;23;1;82;82
42153;2962;44;1;112;112
49450;3147;56;2;178;356
53279;3342;81;1;167;167
54597;3429;70;1;150;150
6640;873;74;1;156;156
22527;1889;55;1;178;178
49369;3187;16;1;167;167
7559;983;2;1;139;139
42342;2938;5;1;84;84
42965;602;15;2;167;334
43139;627;45;1;112;112
44359;848;82;1;136;136
53254;3342;7;1;84;84
39671;2844;25;1;106;106
36075;2655;37;1;162;162
44500;856;71;1;150;150
49169;3129;87;1;115;115
207;20;62;1;96;96
13505;1346;56;1;178;178
38295;2744;79;2;167;334
28446;2275;88;1;115;115
44200;809;63;1;96;96
23464;1960;9;1;182;182
24093;2013;80;2;167;334
26344;2153;12;1;144;144
32877;2494;91;6;75;450
38027;2734;91;15;75;1125
51806;3414;20;1;82;82
20060;1710;70;1;150;150
24903;2071;11;1;144;144
28365;2266;60;3;187;561
35411;2615;8;1;182;182
42853;571;21;1;82;82
18188;1599;91;6;75;450
21265;1792;71;1;150;150
23671;1991;71;1;150;150
25361;2094;56;1;178;178
30716;2398;89;1;115;115
38892;2783;88;2;115;230
40325;2908;80;1;167;167
49283;3185;27;3;116;348
31456;2428;5;3;84;252
38257;2742;49;2;153;306
38889;2821;31;2;144;288
47148;281;85;1;136;136
1385;149;91;3;75;225
25349;2093;15;1;167;167
33448;2520;18;3;146;438
40068;2881;22;1;82;82
42513;2943;52;2;490;980
47334;225;91;6;75;450
34639;2586;9;2;182;364
36662;2674;75;1;156;156
39810;2856;4;2;84;168
40059;2881;46;2;153;306
47822;329;32;1;144;144
902;93;14;1;167;167
3264;416;36;1;162;162
20754;1757;91;9;75;675
39882;2890;83;1;136;136
45634;3008;91;3;75;225
3610;450;35;1;162;162
14766;1416;55;1;178;178
21869;1838;92;3;75;225
3382;434;52;2;490;980
5470;674;52;1;490;490
8477;1056;52;1;490;490
49707;3155;90;3;75;225
1364;143;76;1;156;156
26234;2144;91;3;75;225
40711;1113;62;1;96;96
1587;160;54;2;178;356
4491;526;34;1;162;162
19217;1657;6;3;84;252
39828;2856;45;3;112;336
23060;1926;41;1;290;290
31409;2423;65;2;96;192
43273;645;75;3;156;468
48947;3113;63;1;96;96
49240;3134;88;1;115;115
52286;3406;30;1;144;144
27023;2182;82;1;136;136
27291;2198;14;1;167;167
33410;2517;53;1;490;490
41660;1198;19;1;146;146
50689;3238;22;1;82;82
1356;143;25;1;106;106
2727;341;76;1;156;156
8679;1065;88;1;115;115
29572;2336;71;1;150;150
33836;2540;91;18;75;1350
44472;861;40;1;290;290
536;60;32;1;144;144
5838;734;28;1;116;116
8866;1073;24;2;106;212
12538;1300;6;1;84;84
26387;2154;92;3;75;225
39689;2847;36;2;162;324
47864;328;3;1;139;139
1091;107;43;1;112;112
18931;1639;83;1;136;136
19094;1644;1;1;139;139
26369;2154;65;1;96;96
30642;2397;14;1;167;167
41372;1166;25;2;106;212
4242;504;11;1;144;144
