id;data;nfe;cliente_id;nf_desconto;valor_bruto;valor_venda
1;16/02/2021;SO43660;614;24,9;265;240,1
2;16/02/2021;SO43661;338;126,3;2323;2196,7
3;16/02/2021;SO43659;557;145;1847;1702
4;17/02/2021;SO43662;117;249,95;3435;3185,05
5;17/02/2021;SO43663;50;8,35;146;137,65
6;17/02/2021;SO43664;259;74,9;1009;934,1
7;17/02/2021;SO43665;347;112,95;1711;1598,05
8;18/02/2021;SO43668;595;364,85;4396;4031,15
9;18/02/2021;SO43666;470;61,05;994;932,95
10;18/02/2021;SO43667;313;83,35;476;392,65
11;18/02/2021;SO43669;318;0;225;225
12;18/02/2021;SO43670;266;26,35;602;575,65
13;19/02/2021;SO43671;447;99,95;1638;1538,05
14;19/02/2021;SO43676;247;62,85;723;660,15
15;19/02/2021;SO43677;604;140,75;2473;2332,25
16;19/02/2021;SO43675;202;85,85;1389;1303,15
17;19/02/2021;SO43674;81;8,35;115;106,65
18;19/02/2021;SO43672;576;26,15;374;347,85
19;19/02/2021;SO43673;209;140,15;2253;2112,85
20;20/02/2021;SO43681;15;303,15;3262;2958,85
21;20/02/2021;SO43678;675;258,35;3334;3075,65
22;20/02/2021;SO43680;256;143,65;2185;2041,35
23;20/02/2021;SO43679;502;32;374;342
24;21/02/2021;SO43688;238;207,15;2003;1795,85
25;21/02/2021;SO43685;253;55,55;637;581,45
26;21/02/2021;SO43683;619;87,9;1699;1611,1
27;21/02/2021;SO43686;577;40,9;749;708,1
28;21/02/2021;SO43684;431;26,85;1111;1084,15
29;21/02/2021;SO43682;144;34,8;724;689,2
30;21/02/2021;SO43687;217;45,9;980;934,1
31;22/02/2021;SO43689;649;188,15;3334;3145,85
32;22/02/2021;SO43690;120;72,9;712;639,1
33;22/02/2021;SO43691;469;16,2;112;95,8
34;22/02/2021;SO43692;359;333,55;6095;5761,45
35;23/02/2021;SO43693;195;130,55;1849;1718,45
36;23/02/2021;SO43695;202;87,5;1072;984,5
37;23/02/2021;SO43845;55;127,55;1737;1609,45
38;23/02/2021;SO43846;640;57,9;660;602,1
39;23/02/2021;SO43844;686;49,8;651;601,2
40;23/02/2021;SO43694;552;137,75;2533;2395,25
41;23/02/2021;SO43847;466;22,05;769;746,95
42;23/02/2021;SO43696;414;7,2;167;159,8
43;23/02/2021;SO43843;510;80,4;1272;1191,6
44;24/02/2021;SO43848;635;60,3;580;519,7
45;24/02/2021;SO43849;477;92,5;1784;1691,5
46;24/02/2021;SO43850;582;93,95;2104;2010,05
47;25/02/2021;SO43851;187;145,6;1833;1687,4
48;25/02/2021;SO43857;577;122,85;1924;1801,15
49;25/02/2021;SO43852;54;15;167;152
50;25/02/2021;SO43853;643;64,5;1313;1248,5
51;25/02/2021;SO43856;123;18,2;349;330,8
52;25/02/2021;SO43854;81;26,7;96;69,3
53;25/02/2021;SO43855;633;164,1;1649;1484,9
54;26/02/2021;SO43858;625;117,2;2520;2402,8
55;26/02/2021;SO43862;505;79,95;1326;1246,05
56;26/02/2021;SO43861;475;222,8;4538;4315,2
57;26/02/2021;SO43859;318;39,15;548;508,85
58;26/02/2021;SO43860;369;123,55;1432;1308,45
59;27/02/2021;SO43863;235;34,15;599;564,85
60;27/02/2021;SO43864;306;121,55;1212;1090,45
61;27/02/2021;SO43869;197;62,5;1456;1393,5
62;27/02/2021;SO43867;451;162,6;2782;2619,4
63;27/02/2021;SO43870;255;73,55;703;629,45
64;27/02/2021;SO43865;496;212,25;1698;1485,75
65;27/02/2021;SO43868;416;16,2;112;95,8
66;27/02/2021;SO43866;308;20,85;252;231,15
67;28/02/2021;SO43871;323;107;2091;1984
